@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R13,8,23'

@attribute stalk-surface-below-ring {f,k,s,y}
@attribute gill-size {b,n}
@attribute class {e,p}

@data
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
f,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
k,b,p
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
k,b,p
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
k,b,p
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,n,p
s,b,e
k,b,p
s,n,p
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,n,p
k,b,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
s,b,e
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
s,b,e
s,n,p
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
k,b,p
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,n,p
s,b,e
s,b,e
k,b,p
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,n,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
k,b,p
s,b,e
k,b,p
s,n,p
s,b,e
k,b,p
s,n,p
k,b,p
s,b,e
k,b,p
s,n,p
s,b,e
s,b,e
s,b,e
k,b,p
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,n,p
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
k,b,p
s,b,e
k,b,p
s,n,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
s,n,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,n,p
s,b,e
s,b,e
s,b,e
k,b,p
s,n,p
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,n,p
k,b,p
s,b,e
k,b,p
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
k,b,p
s,b,e
s,b,e
s,n,p
s,b,e
k,b,p
k,b,p
s,b,e
s,b,e
s,n,p
k,b,p
s,n,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,n,p
k,b,p
s,b,e
s,b,e
k,b,p
k,b,p
s,n,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
k,b,p
s,b,e
s,b,e
s,n,p
s,n,p
k,b,p
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,n,p
s,b,e
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
k,b,p
s,b,e
s,n,p
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
k,b,p
s,n,p
s,b,e
s,b,e
k,b,p
k,b,p
s,b,e
s,n,p
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
k,b,p
s,n,p
s,b,e
s,b,e
s,n,p
s,b,e
s,n,p
s,b,e
s,n,p
s,b,e
k,b,p
s,n,p
s,b,e
k,b,p
s,n,p
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,n,p
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
k,b,p
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,n,p
s,b,e
k,b,p
s,b,e
k,b,p
s,b,e
s,n,p
s,b,e
s,n,p
s,n,p
s,b,e
s,n,p
k,b,p
s,b,e
s,b,e
s,b,e
k,b,p
s,n,p
k,b,p
s,n,p
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
k,b,p
s,b,e
s,b,e
s,n,p
s,n,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,n,p
s,n,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
s,b,e
k,b,p
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
k,b,p
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
k,b,p
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,n,p
k,b,p
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
k,b,p
s,n,p
s,b,e
k,b,p
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,n,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
k,b,p
s,b,e
s,b,e
k,b,p
s,b,e
s,n,p
s,b,e
s,b,e
k,b,p
s,b,e
s,n,p
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
k,b,p
k,b,p
s,b,e
s,b,e
k,b,p
k,b,p
k,b,p
s,b,e
s,n,p
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,n,p
k,b,p
s,b,e
k,b,p
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
k,b,p
s,b,e
s,b,e
s,n,p
s,b,e
s,n,p
s,b,e
k,b,p
s,b,e
s,n,p
k,b,p
s,b,e
s,b,e
s,n,p
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,n,p
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
s,n,p
s,n,p
s,b,e
k,b,p
s,n,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
k,b,p
s,n,p
s,b,e
s,n,p
s,n,p
k,b,p
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
s,b,e
s,n,p
s,b,e
s,n,p
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
s,n,p
s,b,e
s,n,p
s,b,e
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,n,p
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
s,b,e
k,b,p
s,b,e
s,n,p
s,b,e
s,n,p
k,b,p
k,b,p
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
s,b,e
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,b,e
s,n,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
s,n,p
s,n,p
s,b,e
s,b,e
s,b,e
s,b,e
k,b,p
s,n,p
s,b,e
s,b,e
s,n,p
s,n,p
s,b,e
k,b,p
s,n,p
k,b,p
s,n,p
s,b,e
s,n,p
s,b,e
s,n,p
s,n,p
s,b,e
s,n,p
s,n,p
s,b,e
s,b,e
s,n,p
s,b,e
s,n,p
s,b,e
k,b,p
k,b,p
s,b,e
k,b,p
s,b,e
k,b,p
k,b,p
s,b,e
s,b,e
s,n,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
s,n,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
s,b,e
s,b,e
s,b,e
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,n,p
k,b,p
s,b,e
s,b,e
s,n,p
k,b,p
k,b,p
s,b,e
s,b,e
k,b,p
s,b,e
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
s,n,p
s,n,p
k,b,p
k,b,p
k,b,p
s,b,e
s,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,n,p
k,b,p
k,b,p
s,b,e
s,b,e
k,b,p
s,n,p
k,b,p
k,b,p
s,n,p
s,b,e
k,b,p
s,n,p
s,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
s,n,p
s,n,p
k,b,p
s,b,p
k,b,p
s,b,e
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
k,b,p
s,b,e
k,b,p
s,b,e
s,b,e
s,b,e
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
s,b,e
k,b,p
k,b,p
k,b,p
s,n,p
k,b,p
k,b,p
s,n,p
k,b,p
f,b,p
k,b,p
k,b,p
s,n,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
s,n,p
k,b,p
s,b,e
s,n,p
k,b,p
k,b,p
s,n,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
s,n,p
s,n,p
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
s,b,e
k,b,p
f,n,e
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
s,b,e
k,b,p
k,b,p
s,b,e
s,b,e
k,b,p
s,b,e
s,b,e
k,b,p
s,n,p
k,b,p
s,n,p
k,b,p
k,b,p
s,b,e
s,n,p
s,b,e
s,b,p
s,b,e
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
s,b,e
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
s,n,p
s,b,e
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
s,b,e
s,b,e
f,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
s,b,e
s,b,e
s,b,e
k,b,p
k,b,p
s,b,e
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
f,n,e
k,b,p
k,b,p
k,b,p
k,b,p
s,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
s,b,e
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
f,b,p
s,b,e
k,n,p
s,b,e
s,n,p
s,n,p
k,n,p
k,b,p
k,b,p
f,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
f,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,p
k,b,p
s,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,n,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
f,n,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
f,n,e
k,b,p
k,b,p
s,n,p
k,b,p
y,n,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,n,p
s,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
f,b,p
s,b,e
k,n,p
k,b,p
k,b,p
s,b,e
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
f,n,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
f,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
s,n,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,n,p
k,b,p
f,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,n,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
f,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
f,n,e
k,b,p
k,b,p
y,n,p
k,b,p
s,b,p
s,b,e
k,n,p
s,n,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
s,n,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
f,n,e
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
f,b,p
s,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
f,n,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,n,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
s,n,p
s,b,e
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
k,b,p
