@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R10,3,1,17,14,6,16,15,2,9,12-13,22,4,8,11,23'

@attribute stalk-shape {e,t}
@attribute cap-color {b,c,e,g,n,p,r,u,w,y}
@attribute cap-shape {b,c,f,k,s,x}
@attribute veil-color {n,o,w,y}
@attribute stalk-color-above-ring {b,c,e,g,n,o,p,w,y}
@attribute gill-attachment {a,d,f,n}
@attribute veil-type {p,u}
@attribute stalk-color-below-ring {b,c,e,g,n,o,p,w,y}
@attribute cap-surface {f,g,s,y}
@attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@attribute stalk-surface-above-ring {f,k,s,y}
@attribute stalk-surface-below-ring {f,k,s,y}
@attribute habitat {d,g,l,m,p,u,w}
@attribute bruises? {f,t}
@attribute gill-size {b,n}
@attribute stalk-root {b,c,e,r,u,z}
@attribute class {e,p}

@data
e,y,x,w,w,f,p,w,y,p,s,y,p,t,b,r,e
t,e,x,w,w,f,p,p,f,u,s,s,d,t,b,b,e
t,n,x,w,w,f,p,w,f,h,f,s,g,f,b,e,e
t,n,x,w,w,f,p,g,y,p,s,s,d,t,b,b,e
t,g,f,w,w,f,p,p,f,n,s,s,d,t,b,b,e
t,w,x,w,w,f,p,w,f,k,f,s,g,f,b,e,e
e,w,x,w,w,f,p,w,y,k,s,s,m,t,b,c,e
t,n,x,w,w,f,p,w,s,p,s,s,g,f,b,e,e
t,w,f,w,w,f,p,w,s,p,s,s,g,f,b,e,e
t,n,f,w,g,f,p,w,f,u,s,s,d,t,b,b,e
t,w,f,w,w,f,p,w,f,k,f,f,g,f,b,e,e
t,g,x,w,g,f,p,p,f,u,s,s,d,t,b,b,e
t,n,x,w,w,f,p,g,f,p,s,s,d,t,b,b,e
t,w,x,w,w,f,p,w,f,p,s,f,g,f,b,e,e
e,w,x,w,w,f,p,w,s,n,s,s,m,t,b,c,e
t,g,f,w,w,f,p,w,s,n,f,s,g,f,b,e,e
e,n,f,w,w,f,p,w,y,n,s,s,g,t,n,e,p
t,g,f,w,w,f,p,w,f,p,f,s,g,f,b,e,e
t,n,x,w,p,f,p,w,f,n,s,s,d,t,b,b,e
t,w,x,w,w,f,p,w,f,n,s,f,g,f,b,e,e
t,n,x,w,p,f,p,w,y,u,s,s,d,t,b,b,e
t,e,x,w,p,f,p,p,y,p,s,s,d,t,b,b,e
e,n,f,w,w,f,p,w,s,n,s,s,u,t,n,e,p
t,g,f,w,w,f,p,w,s,p,s,s,g,f,b,e,e
t,g,x,w,w,f,p,g,f,n,s,s,d,t,b,b,e
t,g,f,w,g,f,p,p,f,n,s,s,d,t,b,b,e
t,g,x,w,w,f,p,g,f,n,s,s,d,t,b,b,e
t,g,x,w,p,f,p,p,f,w,s,s,d,t,b,b,e
t,n,x,w,p,f,p,g,f,u,s,s,d,t,b,b,e
e,w,x,w,w,f,p,w,s,p,s,s,u,t,n,e,p
e,y,x,w,w,f,p,w,s,k,s,s,m,t,b,c,e
t,n,x,w,p,f,p,p,f,n,s,s,d,t,b,b,e
t,n,f,w,w,f,p,w,y,w,s,s,d,t,b,b,e
t,g,x,w,w,f,p,w,s,n,f,f,g,f,b,e,e
t,e,x,w,w,f,p,p,y,u,s,s,d,t,b,b,e
t,g,x,w,w,f,p,w,f,k,f,s,g,f,b,e,e
t,w,f,w,w,f,p,w,s,p,f,s,g,f,b,e,e
t,n,x,w,g,f,p,g,f,n,s,s,d,t,b,b,e
t,n,f,w,w,f,p,p,f,u,s,s,d,t,b,b,e
t,g,f,w,w,f,p,w,f,n,s,f,g,f,b,e,e
t,g,f,w,w,f,p,w,f,n,s,s,g,f,b,e,e
t,n,f,w,w,f,p,w,f,h,f,f,g,f,b,e,e
t,g,x,w,g,f,p,w,f,p,s,s,d,t,b,b,e
t,e,x,w,p,f,p,g,f,n,s,s,d,t,b,b,e
e,n,f,w,w,f,p,w,y,p,s,s,u,t,n,e,p
t,g,x,w,g,f,p,g,y,p,s,s,d,t,b,b,e
t,w,x,w,w,f,p,w,s,k,s,f,g,f,b,e,e
e,w,b,w,w,f,p,w,s,g,s,s,m,t,b,c,e
t,w,x,w,w,f,p,w,s,h,f,f,g,f,b,e,e
t,n,f,w,w,f,p,w,f,k,f,f,g,f,b,e,e
t,g,x,w,g,f,p,w,y,p,s,s,d,t,b,b,e
t,g,f,w,w,f,p,w,f,n,s,s,d,t,b,b,e
t,g,x,w,w,f,p,w,f,p,f,s,g,f,b,e,e
e,w,x,w,w,f,p,w,s,n,s,s,g,t,n,e,p
t,n,x,w,w,f,p,w,s,k,s,s,g,f,b,e,e
t,g,x,w,w,f,p,g,y,p,s,s,d,t,b,b,e
t,g,f,w,w,f,p,w,f,p,s,s,d,t,b,b,e
t,n,x,w,p,f,p,w,y,w,s,s,d,t,b,b,e
t,e,x,w,p,f,p,g,f,p,s,s,d,t,b,b,e
t,n,f,w,g,f,p,p,f,w,s,s,d,t,b,b,e
t,e,x,w,g,f,p,g,f,u,s,s,d,t,b,b,e
t,n,f,w,w,f,p,w,f,p,s,s,d,t,b,b,e
t,e,x,w,p,f,p,p,y,u,s,s,d,t,b,b,e
t,g,x,w,p,f,p,w,f,w,s,s,d,t,b,b,e
t,g,f,w,w,f,p,w,f,p,s,s,d,t,b,b,e
t,e,x,w,g,f,p,w,f,w,s,s,d,t,b,b,e
t,e,x,w,g,f,p,p,y,u,s,s,d,t,b,b,e
e,w,x,w,w,f,p,w,s,w,s,s,g,t,n,e,p
t,e,x,w,p,f,p,g,f,n,s,s,d,t,b,b,e
t,g,x,w,w,f,p,w,y,p,s,s,d,t,b,b,e
t,n,x,w,g,f,p,g,f,p,s,s,d,t,b,b,e
t,e,x,w,w,f,p,g,y,w,s,s,d,t,b,b,e
t,g,x,w,g,f,p,p,y,n,s,s,d,t,b,b,e
t,g,x,w,p,f,p,p,f,n,s,s,d,t,b,b,e
t,g,x,w,g,f,p,w,y,u,s,s,d,t,b,b,e
t,e,x,w,w,f,p,w,f,p,s,s,d,t,b,b,e
t,e,f,w,w,f,p,w,y,n,s,s,d,t,b,b,e
t,n,f,w,g,f,p,p,f,p,s,s,d,t,b,b,e
t,n,x,w,w,f,p,p,f,u,s,s,d,t,b,b,e
t,g,f,w,p,f,p,p,y,w,s,s,d,t,b,b,e
t,e,x,w,p,f,p,g,y,u,s,s,d,t,b,b,e
t,g,x,w,g,f,p,g,f,p,s,s,d,t,b,b,e
t,g,x,w,w,f,p,p,y,n,s,s,d,t,b,b,e
e,g,x,w,b,f,p,b,f,p,k,k,g,f,b,b,p
e,w,f,w,w,f,p,w,s,p,s,s,g,t,n,e,p
t,e,x,w,p,f,p,w,f,n,s,s,d,t,b,b,e
t,w,x,w,w,f,p,w,f,h,s,s,g,f,b,e,e
t,n,x,w,g,f,p,w,y,u,s,s,d,t,b,b,e
t,n,f,w,g,f,p,w,f,n,s,s,d,t,b,b,e
t,n,x,w,p,f,p,g,f,w,s,s,d,t,b,b,e
t,g,x,w,p,f,p,w,y,u,s,s,d,t,b,b,e
t,g,x,w,g,f,p,w,y,w,s,s,d,t,b,b,e
t,e,x,w,w,f,p,p,f,u,s,s,d,t,b,b,e
t,n,x,w,w,f,p,g,y,n,s,s,d,t,b,b,e
t,g,x,w,p,f,p,g,f,w,s,s,d,t,b,b,e
t,e,x,w,p,f,p,w,f,w,s,s,d,t,b,b,e
t,e,x,w,w,f,p,g,y,u,s,s,d,t,b,b,e
t,n,x,w,p,f,p,w,y,p,s,s,d,t,b,b,e
t,e,x,w,w,f,p,w,y,n,s,s,d,t,b,b,e
t,n,f,w,w,f,p,g,y,p,s,s,d,t,b,b,e
t,n,f,w,p,f,p,w,y,n,s,s,d,t,b,b,e
t,n,x,w,g,f,p,g,y,n,s,s,d,t,b,b,e
e,n,f,w,w,f,p,w,s,n,s,s,u,t,n,e,p
t,e,f,w,w,f,p,w,f,u,s,s,d,t,b,b,e
e,w,x,w,w,f,p,w,s,w,s,s,g,t,n,e,p
t,e,x,w,g,f,p,p,f,u,s,s,d,t,b,b,e
t,n,f,w,g,f,p,g,f,p,s,s,d,t,b,b,e
t,n,x,w,p,f,p,g,y,u,s,s,d,t,b,b,e
t,e,f,w,w,f,p,g,f,p,s,s,d,t,b,b,e
t,e,x,w,w,f,p,g,f,n,s,s,d,t,b,b,e
t,g,x,w,g,f,p,p,f,p,s,s,d,t,b,b,e
t,n,x,w,p,f,p,g,y,n,s,s,d,t,b,b,e
t,n,f,w,w,f,p,g,f,u,s,s,d,t,b,b,e
t,n,f,w,p,f,p,p,f,w,s,s,d,t,b,b,e
t,e,x,w,w,f,p,g,f,u,s,s,d,t,b,b,e
t,n,x,w,w,f,p,g,f,u,s,s,d,t,b,b,e
t,e,x,w,g,f,p,w,f,p,s,s,d,t,b,b,e
t,g,f,w,g,f,p,p,f,p,s,s,d,t,b,b,e
t,n,x,w,w,f,p,p,y,u,s,s,d,t,b,b,e
t,n,f,w,w,f,p,p,f,u,s,s,d,t,b,b,e
t,e,x,w,w,f,p,p,f,n,s,s,d,t,b,b,e
t,e,x,w,p,f,p,w,y,w,s,s,d,t,b,b,e
t,g,x,w,p,f,p,g,f,p,s,s,d,t,b,b,e
t,g,x,w,g,f,p,g,y,n,s,s,d,t,b,b,e
t,e,x,w,p,f,p,g,y,p,s,s,d,t,b,b,e
t,g,x,w,g,f,p,p,y,p,s,s,d,t,b,b,e
t,g,x,w,g,f,p,g,f,n,s,s,d,t,b,b,e
t,g,f,w,g,f,p,g,f,n,s,s,d,t,b,b,e
t,g,x,w,g,f,p,w,y,n,s,s,d,t,b,b,e
t,e,x,w,w,f,p,g,y,n,s,s,d,t,b,b,e
t,n,f,w,w,f,p,p,f,p,s,s,d,t,b,b,e
t,n,f,w,g,f,p,w,f,w,s,s,d,t,b,b,e
t,e,x,w,w,f,p,w,y,p,s,s,d,t,b,b,e
e,g,x,w,n,f,p,p,f,p,k,k,d,f,b,b,p
t,g,x,w,p,f,p,w,y,u,s,s,d,t,b,b,e
t,e,x,w,p,f,p,g,f,w,s,s,d,t,b,b,e
t,n,x,w,g,f,p,p,y,u,s,s,d,t,b,b,e
t,n,f,w,g,f,p,w,f,p,s,s,d,t,b,b,e
t,e,x,w,g,f,p,p,y,w,s,s,d,t,b,b,e
t,n,f,w,g,f,p,g,f,p,s,s,d,t,b,b,e
t,n,f,w,w,f,p,g,y,p,s,s,d,t,b,b,e
t,g,f,w,w,f,p,p,f,p,s,s,d,t,b,b,e
t,e,x,w,p,f,p,w,f,n,s,s,d,t,b,b,e
t,g,x,w,g,f,p,p,f,w,s,s,d,t,b,b,e
t,g,x,w,g,f,p,w,f,u,s,s,d,t,b,b,e
t,n,x,w,p,f,p,w,f,u,s,s,d,t,b,b,e
t,g,x,w,w,f,p,g,f,w,s,s,d,t,b,b,e
t,g,x,w,w,f,p,w,s,k,s,s,g,f,b,e,e
t,e,x,w,p,f,p,g,y,u,s,s,d,t,b,b,e
t,g,f,w,p,f,p,g,f,p,s,s,d,t,b,b,e
t,e,x,w,g,f,p,w,y,n,s,s,d,t,b,b,e
t,g,f,w,g,f,p,p,f,n,s,s,d,t,b,b,e
t,g,x,w,w,f,p,p,f,u,s,s,d,t,b,b,e
t,g,x,w,p,f,p,p,f,n,s,s,d,t,b,b,e
t,g,f,w,w,f,p,p,f,p,s,s,d,t,b,b,e
t,w,x,w,w,f,p,w,s,p,s,f,g,f,b,e,e
t,n,x,w,g,f,p,w,f,w,s,s,d,t,b,b,e
t,n,f,w,p,f,p,p,f,w,s,s,d,t,b,b,e
t,g,f,w,g,f,p,g,f,p,s,s,d,t,b,b,e
t,g,x,w,w,f,p,w,y,w,s,s,d,t,b,b,e
t,e,x,w,w,f,p,w,f,u,s,s,d,t,b,b,e
t,e,x,w,g,f,p,p,y,u,s,s,d,t,b,b,e
t,n,x,w,g,f,p,p,f,w,s,s,d,t,b,b,e
t,g,f,w,w,f,p,w,y,w,s,s,d,t,b,b,e
t,g,x,w,p,f,p,p,y,w,s,s,d,t,b,b,e
e,p,x,w,w,f,p,w,s,g,s,s,d,f,n,b,p
t,n,x,w,g,f,p,p,y,p,s,s,d,t,b,b,e
t,g,f,w,p,f,p,w,f,n,s,s,d,t,b,b,e
t,e,x,w,w,f,p,p,y,p,s,s,d,t,b,b,e
t,n,f,w,p,f,p,w,f,p,s,s,d,t,b,b,e
t,n,x,w,w,f,p,g,y,w,s,s,d,t,b,b,e
t,g,x,w,g,f,p,w,f,w,s,s,d,t,b,b,e
t,n,f,w,g,f,p,w,f,p,s,s,d,t,b,b,e
t,n,x,w,p,f,p,w,y,n,s,s,d,t,b,b,e
t,n,x,w,p,f,p,w,y,w,s,s,d,t,b,b,e
t,e,x,w,p,f,p,w,f,w,s,s,d,t,b,b,e
t,g,f,w,w,f,p,p,f,p,s,s,d,t,b,b,e
t,e,x,w,w,f,p,w,y,n,s,s,d,t,b,b,e
t,e,x,w,g,f,p,g,y,u,s,s,d,t,b,b,e
t,n,f,w,p,f,p,g,f,w,s,s,d,t,b,b,e
t,e,x,w,w,f,p,p,f,p,s,s,d,t,b,b,e
t,e,x,w,p,f,p,p,f,n,s,s,d,t,b,b,e
t,w,x,w,w,f,p,w,f,k,f,f,g,f,b,e,e
t,g,x,w,g,f,p,g,y,p,s,s,d,t,b,b,e
t,e,x,w,g,f,p,w,f,p,s,s,d,t,b,b,e
t,g,x,w,p,f,p,w,y,p,s,s,d,t,b,b,e
t,e,x,w,w,f,p,p,f,w,s,s,d,t,b,b,e
t,g,x,w,w,f,p,w,f,p,s,s,d,t,b,b,e
t,e,f,w,w,f,p,g,y,p,s,s,d,t,b,b,e
t,g,f,w,p,f,p,g,y,p,s,s,d,t,b,b,e
t,e,x,w,p,f,p,w,y,p,s,s,d,t,b,b,e
t,g,x,w,w,f,p,g,y,p,s,s,d,t,b,b,e
t,g,f,w,w,f,p,w,f,h,s,f,g,f,b,e,e
e,g,x,w,b,f,p,p,f,g,k,k,p,f,b,b,p
t,e,x,w,g,f,p,w,f,p,s,s,d,t,b,b,e
t,e,x,w,w,f,p,g,y,w,s,s,d,t,b,b,e
e,w,f,w,w,f,p,w,s,w,s,s,g,t,n,e,p
t,n,f,w,w,f,p,w,y,u,s,s,d,t,b,b,e
t,e,x,w,p,f,p,w,f,n,s,s,d,t,b,b,e
t,e,x,w,p,f,p,g,y,n,s,s,d,t,b,b,e
t,g,x,w,g,f,p,w,f,n,s,s,d,t,b,b,e
t,g,x,w,g,f,p,p,y,p,s,s,d,t,b,b,e
t,g,x,w,w,f,p,w,f,n,f,f,g,f,b,e,e
t,n,x,w,g,f,p,w,f,u,s,s,d,t,b,b,e
t,e,f,w,g,f,p,w,f,n,s,s,d,t,b,b,e
t,g,x,w,g,f,p,g,y,u,s,s,d,t,b,b,e
t,n,f,w,g,f,p,p,f,w,s,s,d,t,b,b,e
t,g,f,w,w,f,p,w,f,h,f,f,g,f,b,e,e
t,g,f,w,p,f,p,w,f,p,s,s,d,t,b,b,e
t,n,x,w,w,f,p,w,y,w,s,s,d,t,b,b,e
t,g,f,w,p,f,p,p,f,p,s,s,d,t,b,b,e
t,n,f,w,w,f,p,w,y,u,s,s,d,t,b,b,e
t,g,x,w,p,f,p,g,f,w,s,s,d,t,b,b,e
t,e,x,w,p,f,p,w,y,u,s,s,d,t,b,b,e
t,n,x,w,p,f,p,p,y,n,s,s,d,t,b,b,e
t,g,f,w,w,f,p,w,s,n,f,s,g,f,b,e,e
t,n,x,w,w,f,p,p,f,w,s,s,d,t,b,b,e
t,n,f,w,w,f,p,g,f,n,s,s,d,t,b,b,e
t,e,x,w,p,f,p,p,y,w,s,s,d,t,b,b,e
t,e,x,w,p,f,p,g,y,w,s,s,d,t,b,b,e
t,n,x,w,p,f,p,w,y,n,s,s,d,t,b,b,e
t,w,f,w,w,f,p,w,s,h,s,f,g,f,b,e,e
t,n,x,w,g,f,p,g,y,p,s,s,d,t,b,b,e
t,e,x,w,w,f,p,w,y,p,s,s,d,t,b,b,e
t,g,x,w,p,f,p,g,f,p,s,s,d,t,b,b,e
t,g,f,w,p,f,p,w,f,n,s,s,d,t,b,b,e
t,n,f,w,w,f,p,w,f,n,s,f,g,f,b,e,e
t,g,f,w,w,f,p,p,f,n,s,s,d,t,b,b,e
t,e,x,w,g,f,p,w,y,u,s,s,d,t,b,b,e
t,g,f,w,w,f,p,g,f,n,s,s,d,t,b,b,e
t,n,x,w,w,f,p,p,y,u,s,s,d,t,b,b,e
t,e,x,w,p,f,p,g,f,u,s,s,d,t,b,b,e
t,n,x,w,w,f,p,p,f,w,s,s,d,t,b,b,e
t,g,x,w,w,f,p,w,f,n,s,s,d,t,b,b,e
t,g,f,w,g,f,p,w,f,w,s,s,d,t,b,b,e
t,n,x,w,p,f,p,g,f,p,s,s,d,t,b,b,e
t,n,x,w,p,f,p,g,y,u,s,s,d,t,b,b,e
t,e,x,w,w,f,p,g,f,p,s,s,d,t,b,b,e
t,g,f,w,w,f,p,g,f,n,s,s,d,t,b,b,e
t,n,x,w,w,f,p,p,y,p,s,s,d,t,b,b,e
e,p,x,w,w,f,p,w,s,n,s,s,d,f,n,b,p
t,g,f,w,g,f,p,w,y,w,s,s,d,t,b,b,e
t,n,f,w,w,f,p,g,f,p,s,s,d,t,b,b,e
e,n,f,w,w,f,p,w,s,p,s,s,u,t,n,e,p
t,n,x,w,w,f,p,g,y,u,s,s,d,t,b,b,e
t,g,x,w,g,f,p,g,y,u,s,s,d,t,b,b,e
t,e,x,w,g,f,p,g,y,n,s,s,d,t,b,b,e
t,e,x,w,p,f,p,w,y,n,s,s,d,t,b,b,e
t,e,x,w,w,f,p,g,y,p,s,s,d,t,b,b,e
t,g,x,w,p,f,p,g,f,p,s,s,d,t,b,b,e
t,w,f,w,w,f,p,w,s,n,s,s,g,f,b,e,e
t,g,x,w,w,f,p,p,y,p,s,s,d,t,b,b,e
t,n,x,w,w,f,p,w,f,p,s,f,g,f,b,e,e
t,n,x,w,g,f,p,p,f,w,s,s,d,t,b,b,e
t,g,x,w,p,f,p,p,y,p,s,s,d,t,b,b,e
t,e,x,w,w,f,p,p,y,p,s,s,d,t,b,b,e
t,n,x,w,g,f,p,p,y,u,s,s,d,t,b,b,e
t,g,x,w,p,f,p,w,f,w,s,s,d,t,b,b,e
t,g,x,w,p,f,p,w,f,w,s,s,d,t,b,b,e
t,g,x,w,p,f,p,g,y,w,s,s,d,t,b,b,e
t,g,x,w,p,f,p,p,y,n,s,s,d,t,b,b,e
t,g,f,w,g,f,p,g,y,p,s,s,d,t,b,b,e
t,e,x,w,w,f,p,w,f,p,s,s,d,t,b,b,e
t,e,x,w,g,f,p,w,y,n,s,s,d,t,b,b,e
t,n,x,w,p,f,p,w,f,w,s,s,d,t,b,b,e
t,n,x,w,p,f,p,p,f,w,s,s,d,t,b,b,e
t,n,f,w,g,f,p,g,f,n,s,s,d,t,b,b,e
t,n,f,w,p,f,p,p,f,p,s,s,d,t,b,b,e
t,g,x,w,p,f,p,p,y,u,s,s,d,t,b,b,e
t,e,x,w,w,f,p,g,f,w,s,s,d,t,b,b,e
t,n,f,w,p,f,p,g,y,w,s,s,d,t,b,b,e
t,e,x,w,w,f,p,w,y,p,s,s,d,t,b,b,e
t,n,f,w,w,f,p,p,y,w,s,s,d,t,b,b,e
t,g,x,w,w,f,p,w,y,p,s,s,d,t,b,b,e
t,n,f,w,p,f,p,w,f,n,s,s,d,t,b,b,e
t,g,x,w,g,f,p,p,y,w,s,s,d,t,b,b,e
t,e,x,w,p,f,p,p,y,w,s,s,d,t,b,b,e
t,n,x,w,w,f,p,g,y,p,s,s,d,t,b,b,e
t,g,x,w,w,f,p,p,f,w,s,s,d,t,b,b,e
t,e,x,w,w,f,p,g,f,u,s,s,d,t,b,b,e
t,n,x,w,p,f,p,p,f,u,s,s,d,t,b,b,e
t,n,f,w,g,f,p,w,f,w,s,s,d,t,b,b,e
t,g,f,w,p,f,p,p,y,u,s,s,d,t,b,b,e
t,n,x,w,p,f,p,w,f,w,s,s,d,t,b,b,e
t,e,x,w,p,f,p,w,y,w,s,s,d,t,b,b,e
t,n,f,w,p,f,p,g,f,w,s,s,d,t,b,b,e
t,n,x,w,g,f,p,p,y,w,s,s,d,t,b,b,e
t,n,f,w,w,f,p,p,f,n,s,s,d,t,b,b,e
t,e,x,w,w,f,p,g,y,u,s,s,d,t,b,b,e
t,e,x,w,p,f,p,g,y,u,s,s,d,t,b,b,e
t,g,x,w,g,f,p,g,f,w,s,s,d,t,b,b,e
t,g,x,w,w,f,p,p,f,p,s,s,d,t,b,b,e
t,e,f,w,w,f,p,p,f,u,s,s,d,t,b,b,e
t,n,x,w,w,f,p,g,f,w,s,s,d,t,b,b,e
t,e,x,w,p,f,p,p,y,n,s,s,d,t,b,b,e
t,g,x,w,p,f,p,w,y,u,s,s,d,t,b,b,e
t,g,x,w,w,f,p,p,y,u,s,s,d,t,b,b,e
t,e,x,w,p,f,p,w,f,u,s,s,d,t,b,b,e
t,n,f,w,w,f,p,w,f,w,s,s,d,t,b,b,e
t,n,x,w,p,f,p,p,y,p,s,s,d,t,b,b,e
t,g,x,w,g,f,p,p,y,u,s,s,d,t,b,b,e
t,w,x,w,w,f,p,w,f,h,s,f,g,f,b,e,e
t,g,f,w,g,f,p,g,y,w,s,s,d,t,b,b,e
t,g,f,w,w,f,p,w,s,n,f,f,g,f,b,e,e
t,n,f,w,g,f,p,w,f,u,s,s,d,t,b,b,e
t,e,x,w,w,f,p,w,y,w,s,s,d,t,b,b,e
e,w,f,w,w,f,p,w,y,w,s,s,u,t,n,e,p
t,g,x,w,w,f,p,g,y,n,s,s,d,t,b,b,e
t,n,f,w,w,f,p,w,f,w,s,s,d,t,b,b,e
t,g,x,w,g,f,p,g,f,w,s,s,d,t,b,b,e
t,e,x,w,p,f,p,g,f,n,s,s,d,t,b,b,e
t,g,f,w,g,f,p,w,f,n,s,s,d,t,b,b,e
t,n,x,w,p,f,p,g,y,p,s,s,d,t,b,b,e
t,e,x,w,p,f,p,w,y,n,s,s,d,t,b,b,e
t,n,x,w,p,f,p,g,y,n,s,s,d,t,b,b,e
t,n,x,w,w,f,p,w,y,n,s,s,d,t,b,b,e
t,n,f,w,g,f,p,w,f,p,s,s,d,t,b,b,e
t,g,x,w,g,f,p,p,y,u,s,s,d,t,b,b,e
t,n,x,w,w,f,p,p,y,n,s,s,d,t,b,b,e
t,e,x,w,w,f,p,g,f,w,s,s,d,t,b,b,e
t,n,f,w,p,f,p,g,f,p,s,s,d,t,b,b,e
t,e,x,w,w,f,p,w,f,n,s,s,d,t,b,b,e
t,w,f,w,w,f,p,w,s,k,s,s,g,f,b,e,e
t,n,x,w,g,f,p,w,y,n,s,s,d,t,b,b,e
t,g,x,w,g,f,p,g,f,w,s,s,d,t,b,b,e
t,n,x,w,p,f,p,w,f,w,s,s,d,t,b,b,e
t,e,x,w,g,f,p,g,f,p,s,s,d,t,b,b,e
t,n,f,w,g,f,p,p,f,n,s,s,d,t,b,b,e
t,n,x,w,w,f,p,p,f,u,s,s,d,t,b,b,e
t,n,x,w,w,f,p,g,y,p,s,s,d,t,b,b,e
e,w,f,w,w,f,p,w,s,w,s,s,u,t,n,e,p
t,g,x,w,g,f,p,g,f,w,s,s,d,t,b,b,e
t,w,f,w,w,f,p,w,s,k,s,s,g,f,b,e,e
t,g,x,w,w,f,p,w,s,p,s,f,g,f,b,e,e
t,g,x,w,p,f,p,g,f,p,s,s,d,t,b,b,e
t,n,f,w,p,f,p,g,f,n,s,s,d,t,b,b,e
t,e,x,w,g,f,p,g,f,n,s,s,d,t,b,b,e
t,g,x,w,p,f,p,g,y,n,s,s,d,t,b,b,e
t,n,f,w,w,f,p,g,f,u,s,s,d,t,b,b,e
t,n,x,w,p,f,p,p,f,w,s,s,d,t,b,b,e
e,g,x,w,n,f,p,n,f,h,k,k,d,f,b,b,p
t,e,x,w,g,f,p,g,y,w,s,s,d,t,b,b,e
t,n,x,w,w,f,p,w,f,h,s,s,g,f,b,e,e
e,w,x,w,w,f,p,w,s,n,s,s,g,t,n,e,p
t,g,x,w,p,f,p,p,y,p,s,s,d,t,b,b,e
t,n,f,w,w,f,p,w,f,n,s,s,d,t,b,b,e
t,n,x,w,g,f,p,p,f,p,s,s,d,t,b,b,e
t,g,x,w,p,f,p,w,y,u,s,s,d,t,b,b,e
t,g,x,w,p,f,p,p,y,w,s,s,d,t,b,b,e
t,n,f,w,p,f,p,p,f,u,s,s,d,t,b,b,e
t,n,f,w,g,f,p,w,f,u,s,s,d,t,b,b,e
t,g,x,w,w,f,p,g,f,u,s,s,d,t,b,b,e
t,g,f,w,g,f,p,p,f,n,s,s,d,t,b,b,e
t,e,x,w,g,f,p,g,y,u,s,s,d,t,b,b,e
t,e,x,w,w,f,p,w,f,n,s,s,d,t,b,b,e
e,w,x,w,w,f,p,w,s,n,s,s,g,t,n,e,p
t,g,f,w,w,f,p,w,f,n,s,s,d,t,b,b,e
t,g,x,w,g,f,p,p,f,p,s,s,d,t,b,b,e
t,e,f,w,w,f,p,p,y,w,s,s,d,t,b,b,e
t,g,f,w,p,f,p,p,y,p,s,s,d,t,b,b,e
t,n,x,w,w,f,p,w,y,w,s,s,d,t,b,b,e
t,e,x,w,g,f,p,w,y,w,s,s,d,t,b,b,e
t,e,x,w,w,f,p,w,f,w,s,s,d,t,b,b,e
t,e,x,w,g,f,p,w,y,w,s,s,d,t,b,b,e
t,g,f,w,p,f,p,g,f,n,s,s,d,t,b,b,e
t,g,x,w,w,f,p,w,f,p,s,s,d,t,b,b,e
t,n,f,w,w,f,p,p,f,p,s,s,d,t,b,b,e
t,n,x,w,p,f,p,p,y,p,s,s,d,t,b,b,e
t,g,x,w,p,f,p,p,y,n,s,s,d,t,b,b,e
t,g,x,w,p,f,p,p,f,u,s,s,d,t,b,b,e
t,n,x,w,p,f,p,p,y,p,s,s,d,t,b,b,e
t,n,f,w,g,f,p,p,f,w,s,s,d,t,b,b,e
t,n,x,w,g,f,p,w,y,u,s,s,d,t,b,b,e
t,n,x,w,p,f,p,g,y,p,s,s,d,t,b,b,e
t,n,f,w,p,f,p,g,f,p,s,s,d,t,b,b,e
t,n,x,w,p,f,p,g,f,u,s,s,d,t,b,b,e
t,n,x,w,g,f,p,w,f,p,s,s,d,t,b,b,e
t,n,x,w,g,f,p,p,y,p,s,s,d,t,b,b,e
t,g,f,w,p,f,p,p,f,n,s,s,d,t,b,b,e
t,e,x,w,w,f,p,w,f,u,s,s,d,t,b,b,e
t,n,f,w,g,f,p,g,f,p,s,s,d,t,b,b,e
e,p,x,w,w,f,p,w,s,g,s,s,d,f,n,b,p
t,e,x,w,p,f,p,p,f,u,s,s,d,t,b,b,e
t,n,f,w,p,f,p,g,f,w,s,s,d,t,b,b,e
t,n,x,w,p,f,p,p,f,w,s,s,d,t,b,b,e
t,e,f,w,p,f,p,g,f,u,s,s,d,t,b,b,e
t,e,x,w,w,f,p,g,y,n,s,s,d,t,b,b,e
t,g,x,w,w,f,p,g,f,w,s,s,d,t,b,b,e
t,g,x,w,p,f,p,w,f,n,s,s,d,t,b,b,e
t,g,x,w,g,f,p,w,f,p,s,s,d,t,b,b,e
t,g,x,w,p,f,p,g,f,u,s,s,d,t,b,b,e
t,g,f,w,w,f,p,g,f,p,s,s,d,t,b,b,e
t,e,x,w,w,f,p,g,f,u,s,s,d,t,b,b,e
t,n,f,w,p,f,p,g,y,p,s,s,d,t,b,b,e
t,e,f,w,g,f,p,w,y,u,s,s,d,t,b,b,e
t,g,x,w,w,f,p,w,y,u,s,s,d,t,b,b,e
t,g,x,w,p,f,p,p,y,w,s,s,d,t,b,b,e
t,g,x,w,p,f,p,w,f,n,s,s,d,t,b,b,e
