@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R15,13,9,20,8,5,23'

@attribute stalk-color-below-ring {b,c,e,g,n,o,p,w,y}
@attribute stalk-surface-below-ring {f,k,s,y}
@attribute gill-color {b,e,g,h,k,n,o,p,r,u,w,y}
@attribute spore-print-color {b,h,k,n,o,r,u,w,y}
@attribute gill-size {b,n}
@attribute odor {a,c,f,l,m,n,p,s,y}
@attribute class {e,p}

@data
p,s,n,k,b,n,e
w,f,k,k,b,n,e
w,f,k,k,b,n,e
w,s,n,n,b,n,e
w,s,n,k,b,n,e
w,s,n,k,b,n,e
w,f,n,k,b,n,e
w,s,u,k,b,n,e
w,f,p,k,b,n,e
w,s,n,k,b,l,e
p,s,n,k,b,n,e
w,s,k,n,b,l,e
w,f,p,k,b,n,e
p,s,u,n,b,n,e
w,s,g,k,b,l,e
w,s,h,k,b,n,e
w,s,k,n,b,n,e
w,s,n,k,n,p,p
w,f,n,n,b,n,e
w,s,n,k,b,n,e
w,f,n,n,b,n,e
w,f,k,k,b,n,e
w,s,n,n,b,l,e
w,s,n,k,b,l,e
w,f,p,k,b,n,e
w,s,p,n,b,n,e
w,s,n,k,n,n,e
w,f,k,k,b,n,e
w,f,n,k,b,n,e
w,s,n,n,b,l,e
w,s,w,u,n,a,e
w,s,w,n,b,l,e
w,s,p,k,n,p,p
p,s,n,k,b,n,e
w,y,p,n,b,l,e
w,s,k,n,b,n,e
w,s,w,k,n,p,p
w,y,p,n,b,l,e
w,f,p,n,b,n,e
w,s,k,n,b,n,e
w,s,p,n,b,n,e
w,s,k,n,b,n,e
w,s,k,n,b,l,e
w,s,g,n,b,a,e
w,s,k,k,b,n,e
w,y,p,n,b,a,e
w,f,n,k,b,n,e
w,f,h,k,b,n,e
w,s,p,u,n,a,e
w,y,n,n,b,l,e
w,s,p,n,b,n,e
w,s,w,n,n,p,p
p,s,n,k,b,n,e
w,f,n,n,b,n,e
w,s,w,k,b,a,e
w,s,k,k,b,a,e
w,s,w,n,b,a,e
w,s,n,k,n,p,p
w,s,p,n,n,p,p
w,s,n,n,n,n,e
w,s,w,u,n,l,e
w,s,k,k,b,l,e
w,s,k,k,b,n,e
g,s,u,n,b,n,e
w,s,n,k,n,p,p
w,f,p,n,b,n,e
w,f,p,n,b,n,e
w,s,p,n,b,n,e
w,f,p,k,b,n,e
w,s,k,k,b,a,e
w,s,n,n,n,a,e
w,s,k,k,n,n,e
w,s,p,k,n,p,p
w,y,w,n,b,a,e
w,y,n,k,b,a,e
w,s,h,k,b,n,e
g,s,u,n,b,n,e
w,f,h,n,b,n,e
w,s,w,n,b,a,e
w,f,h,n,b,n,e
w,s,n,n,n,p,p
w,s,p,k,b,n,e
w,f,k,k,b,n,e
w,s,w,k,b,n,e
g,s,u,k,b,n,e
w,f,p,n,b,n,e
w,y,w,n,b,l,e
w,s,k,k,b,n,e
w,s,k,k,b,l,e
w,s,p,n,n,l,e
w,f,k,n,b,n,e
w,s,w,k,b,l,e
w,s,h,n,b,n,e
w,f,h,n,b,n,e
w,s,n,n,n,l,e
w,s,k,n,b,n,e
w,f,n,n,b,n,e
w,s,k,k,n,p,p
w,s,p,u,n,l,e
w,s,k,k,b,a,e
w,s,p,n,b,n,e
g,s,u,k,b,n,e
w,y,n,n,b,l,e
w,f,h,n,b,n,e
w,s,k,n,n,p,p
w,s,k,n,b,a,e
w,s,p,k,b,n,e
w,y,p,k,b,l,e
w,s,k,k,b,n,e
w,s,p,n,n,n,e
w,s,n,n,n,p,p
w,s,k,n,b,n,e
w,y,p,k,b,l,e
w,s,h,k,b,n,e
w,s,k,n,n,p,p
w,s,k,k,b,l,e
w,f,n,k,b,n,e
w,s,w,k,b,l,e
w,f,p,n,b,n,e
w,s,n,n,b,l,e
w,s,w,k,b,l,e
w,s,n,k,n,p,p
w,s,w,k,b,l,e
w,s,n,k,n,n,e
w,y,n,k,b,a,e
w,f,n,n,b,n,e
w,s,n,u,n,l,e
w,f,p,n,b,n,e
w,s,n,k,n,p,p
w,s,p,k,b,n,e
w,s,h,k,b,n,e
w,s,h,k,b,n,e
w,s,n,n,n,p,p
w,f,k,n,b,n,e
w,s,k,n,b,n,e
w,s,h,n,b,n,e
w,s,w,n,n,p,p
w,f,n,n,b,n,e
w,s,n,k,b,n,e
w,s,n,k,n,p,p
w,f,k,n,b,n,e
w,s,k,n,b,l,e
w,f,h,n,b,n,e
w,s,k,k,b,n,e
w,s,n,k,n,p,p
w,y,w,n,b,a,e
w,s,k,k,b,n,e
w,y,p,k,b,l,e
w,s,p,k,b,n,e
w,f,n,n,b,n,e
w,f,h,n,b,n,e
w,s,k,k,b,n,e
w,s,h,n,b,n,e
w,s,p,k,b,n,e
w,f,k,k,b,n,e
w,f,p,n,b,n,e
p,s,p,k,b,n,e
w,s,p,u,n,a,e
w,s,p,k,b,n,e
w,s,p,k,b,n,e
w,s,k,n,b,a,e
w,f,h,n,b,n,e
w,f,k,k,b,n,e
w,s,p,n,n,p,p
w,s,n,k,b,n,e
w,s,p,k,n,p,p
w,f,k,n,b,n,e
w,s,g,k,b,a,e
w,s,h,k,b,n,e
p,s,n,n,b,n,e
w,s,w,n,b,l,e
w,s,h,n,b,n,e
w,s,n,n,b,n,e
w,s,n,n,b,n,e
p,s,p,n,b,n,e
w,f,h,n,b,n,e
w,f,k,k,b,n,e
w,f,n,n,b,n,e
w,s,n,n,b,n,e
w,s,k,k,b,n,e
w,s,n,n,b,n,e
w,f,h,k,b,n,e
w,s,h,k,b,n,e
w,f,p,k,b,n,e
w,y,n,k,b,a,e
w,s,k,n,n,p,p
w,s,h,k,b,n,e
w,s,n,k,n,p,p
w,s,k,n,b,a,e
w,s,n,k,b,n,e
w,f,h,k,b,n,e
w,f,n,n,b,n,e
w,f,h,k,b,n,e
w,s,g,n,b,a,e
w,s,n,k,b,n,e
w,s,p,n,b,n,e
w,y,p,k,b,a,e
w,f,k,k,b,n,e
w,s,w,n,b,a,e
w,s,k,k,n,p,p
p,s,p,k,b,n,e
w,s,n,k,b,n,e
w,s,g,n,b,a,e
w,s,n,k,b,n,e
g,s,u,k,b,n,e
w,f,p,n,b,n,e
w,s,g,k,n,n,e
w,s,g,k,n,n,e
w,s,p,k,n,n,e
w,s,g,k,b,l,e
w,s,g,n,n,n,e
w,f,k,n,b,n,e
w,y,w,k,b,a,e
w,y,p,k,b,l,e
w,y,p,k,b,l,e
w,s,h,n,b,n,e
w,s,n,k,b,a,e
w,s,n,k,b,a,e
w,f,n,n,b,n,e
w,s,h,k,b,n,e
w,s,p,k,n,p,p
w,s,n,n,b,l,e
w,s,p,n,b,n,e
w,f,p,k,b,n,e
w,s,w,n,b,l,e
p,s,p,n,b,n,e
w,y,p,n,b,l,e
w,s,g,k,b,a,e
w,s,k,k,n,p,p
w,s,k,k,b,n,e
w,s,n,n,b,a,e
w,s,k,n,b,l,e
w,s,k,k,b,l,e
w,s,w,n,b,l,e
w,s,g,n,b,a,e
w,s,w,k,b,a,e
w,s,k,k,b,n,e
w,s,n,n,n,p,p
w,s,h,n,b,n,e
w,s,h,k,b,n,e
w,s,p,k,n,p,p
w,s,h,k,b,n,e
w,s,p,n,b,n,e
w,f,p,k,b,n,e
w,s,p,k,b,n,e
w,y,n,k,b,a,e
w,f,n,k,b,n,e
w,s,n,k,b,n,e
w,s,k,n,n,p,p
w,f,p,n,b,n,e
w,s,p,k,b,n,e
w,f,h,n,b,n,e
w,f,k,n,b,n,e
w,y,n,k,b,a,e
w,f,k,n,b,n,e
w,f,k,n,b,n,e
w,f,h,k,b,n,e
w,s,p,k,b,n,e
w,s,k,k,b,n,e
p,s,w,n,b,n,e
w,s,p,k,b,n,e
w,s,p,n,n,p,p
g,s,w,k,b,n,e
w,f,n,n,b,n,e
w,s,w,n,n,p,p
w,s,k,k,b,n,e
w,f,p,n,b,n,e
w,f,h,k,b,n,e
w,f,p,k,b,n,e
w,s,p,k,b,n,e
w,f,h,n,b,n,e
w,f,h,n,b,n,e
w,f,h,k,b,n,e
w,s,p,k,n,p,p
w,f,k,n,b,n,e
w,s,p,k,n,p,p
w,s,w,n,n,p,p
w,f,k,n,b,n,e
w,s,k,k,b,n,e
w,s,h,n,b,n,e
w,s,k,k,b,n,e
w,s,n,k,b,n,e
w,s,k,n,b,n,e
p,s,n,n,b,n,e
w,s,n,n,b,n,e
w,f,k,n,b,n,e
w,s,p,n,n,p,p
w,s,k,n,n,p,p
w,s,p,n,b,n,e
w,s,k,n,n,p,p
w,f,h,k,b,n,e
w,s,h,n,b,n,e
w,s,w,k,n,p,p
w,s,p,k,n,p,p
w,s,w,k,n,p,p
w,s,k,k,n,p,p
w,f,k,k,b,n,e
p,s,p,n,b,n,e
w,f,k,n,b,n,e
w,s,p,k,b,n,e
w,s,k,k,n,p,p
w,f,k,n,b,n,e
w,s,n,n,b,n,e
w,s,n,k,b,n,e
w,f,n,n,b,n,e
w,s,p,n,n,p,p
w,s,k,n,b,n,e
w,s,h,k,b,n,e
w,s,k,k,n,p,p
w,f,p,n,b,n,e
w,s,n,n,b,n,e
w,s,h,k,b,n,e
w,s,h,n,b,n,e
w,s,w,k,b,a,e
w,s,n,n,b,n,e
w,f,n,k,b,n,e
w,s,n,n,b,n,e
w,s,n,k,b,n,e
w,f,h,k,b,n,e
w,s,n,k,n,p,p
w,s,h,k,b,n,e
g,s,p,k,b,n,e
w,f,n,k,b,n,e
g,s,n,k,b,n,e
w,s,p,n,b,n,e
w,f,n,k,b,n,e
w,s,k,n,n,p,p
w,s,p,k,n,p,p
w,s,k,n,b,n,e
p,s,u,n,b,n,e
w,f,k,k,b,n,e
w,y,w,k,b,a,e
w,s,n,n,b,n,e
w,s,p,n,b,n,e
w,s,k,k,b,n,e
w,f,h,n,b,n,e
w,s,n,n,b,n,e
w,f,k,n,b,n,e
w,s,h,n,b,n,e
w,s,p,n,b,n,e
w,f,k,n,b,n,e
w,s,h,n,b,n,e
w,s,p,n,b,n,e
w,f,n,n,b,n,e
w,f,p,n,b,n,e
w,s,k,n,n,p,p
w,s,n,n,b,n,e
w,s,k,k,b,l,e
w,f,k,n,b,n,e
w,s,k,n,b,n,e
g,s,n,k,b,n,e
w,s,n,k,b,l,e
w,s,p,k,b,n,e
p,s,n,n,b,n,e
w,s,n,n,n,p,p
w,s,n,k,b,n,e
w,s,k,n,n,p,p
w,s,k,n,b,n,e
w,f,n,k,b,n,e
w,s,g,k,b,l,e
w,f,k,n,b,n,e
w,f,k,n,b,n,e
w,f,k,k,b,n,e
w,s,k,k,b,n,e
w,s,n,k,b,n,e
w,s,k,k,n,p,p
w,f,p,n,b,n,e
w,s,h,k,b,n,e
g,s,n,k,b,n,e
w,f,p,n,b,n,e
p,s,u,n,b,n,e
w,s,n,n,b,a,e
w,s,k,k,b,n,e
w,f,n,k,b,n,e
w,s,h,n,b,n,e
w,s,w,k,n,p,p
g,s,n,n,b,n,e
w,s,n,n,b,n,e
w,f,h,k,b,n,e
w,s,k,n,n,p,p
w,f,p,k,b,n,e
w,s,p,n,b,n,e
p,s,u,n,b,n,e
g,s,p,n,b,n,e
w,f,k,n,b,n,e
w,f,h,n,b,n,e
w,f,k,n,b,n,e
w,f,p,k,b,n,e
w,f,h,k,b,n,e
w,f,n,k,b,n,e
w,s,p,k,b,n,e
w,s,n,n,b,n,e
w,s,n,k,b,n,e
w,s,p,n,b,n,e
w,s,w,k,n,p,p
w,s,k,k,b,n,e
w,f,p,n,b,n,e
w,f,k,n,b,n,e
w,f,p,n,b,n,e
w,f,n,k,b,n,e
w,s,p,n,b,n,e
g,s,n,k,b,n,e
w,s,n,n,b,n,e
w,f,p,k,b,n,e
w,s,p,k,b,n,e
w,f,h,k,b,n,e
w,s,g,k,b,l,e
w,s,p,k,n,p,p
w,s,p,k,n,p,p
w,f,k,k,b,n,e
w,s,k,k,b,n,e
w,s,k,k,n,p,p
w,f,p,k,b,n,e
w,s,n,n,n,p,p
w,s,k,n,b,n,e
w,s,n,n,n,p,p
w,s,n,k,b,n,e
w,f,h,k,b,n,e
w,f,h,k,b,n,e
w,s,k,n,b,n,e
p,s,w,n,b,n,e
p,s,p,k,b,n,e
w,f,k,n,b,n,e
w,s,w,k,b,n,e
w,s,h,n,b,n,e
w,f,h,k,b,n,e
w,s,p,k,b,n,e
w,f,k,k,b,n,e
p,s,p,n,b,n,e
w,f,k,n,b,n,e
w,s,h,k,b,n,e
w,f,p,n,b,n,e
w,s,k,n,n,p,p
w,f,k,k,b,n,e
w,y,p,n,b,a,e
p,s,n,k,b,n,e
w,s,n,n,b,n,e
w,s,h,n,b,n,e
w,s,p,n,n,p,p
w,f,h,k,b,n,e
w,s,p,k,b,n,e
w,s,n,k,b,n,e
w,s,n,n,b,n,e
w,f,k,k,b,n,e
w,f,p,k,b,n,e
w,f,n,n,b,n,e
w,f,n,n,b,n,e
w,s,k,n,b,n,e
w,f,h,k,b,n,e
w,s,g,n,b,l,e
w,s,n,k,b,n,e
w,f,h,n,b,n,e
w,s,k,k,b,n,e
w,s,w,n,n,p,p
w,f,p,k,b,n,e
p,s,n,n,b,n,e
w,s,n,n,b,n,e
w,f,n,k,b,n,e
w,s,n,n,b,n,e
w,s,p,n,b,n,e
w,f,h,k,b,n,e
w,y,n,k,b,l,e
w,s,p,k,n,p,p
w,f,p,n,b,n,e
w,s,p,k,b,n,e
w,s,w,k,n,p,p
w,s,p,k,n,p,p
w,s,p,n,n,p,p
p,s,u,k,b,n,e
w,s,g,k,b,l,e
w,s,k,k,n,p,p
w,f,p,k,b,n,e
w,s,n,n,b,n,e
p,s,n,k,b,n,e
w,s,h,k,b,n,e
w,s,p,k,b,n,e
w,f,n,n,b,n,e
w,s,p,n,n,p,p
w,s,w,k,n,p,p
w,f,p,k,b,n,e
w,f,p,n,b,n,e
g,s,n,k,b,n,e
w,s,k,n,b,n,e
w,s,h,k,b,n,e
w,s,k,n,n,p,p
w,f,n,n,b,n,e
w,s,p,n,n,p,p
w,f,n,k,b,n,e
w,f,p,k,b,n,e
w,s,n,n,b,n,e
p,s,n,n,b,n,e
w,s,h,n,b,n,e
w,s,k,n,n,p,p
g,s,p,n,b,n,e
w,f,n,k,b,n,e
w,s,k,k,b,n,e
w,s,n,u,n,a,e
w,f,p,n,b,n,e
w,s,p,k,b,n,e
g,s,n,n,b,n,e
w,s,p,u,n,a,e
w,s,h,k,b,n,e
w,s,n,k,b,n,e
w,s,u,n,b,n,e
w,f,p,k,b,n,e
w,s,n,k,n,p,p
w,f,p,n,b,n,e
w,s,h,n,b,n,e
w,f,k,n,b,n,e
w,f,p,k,b,n,e
w,f,k,n,b,n,e
w,s,p,k,n,p,p
w,s,k,n,b,n,e
w,f,k,n,b,n,e
w,s,n,k,b,n,e
w,s,p,k,b,n,e
w,s,k,k,b,n,e
w,y,n,k,b,l,e
w,s,n,k,n,p,p
w,f,p,k,b,n,e
w,f,k,k,b,n,e
w,f,h,n,b,n,e
w,s,p,n,n,p,p
w,s,p,k,b,n,e
w,s,p,n,n,p,p
w,s,n,k,b,n,e
w,s,p,k,b,n,e
w,s,n,k,b,n,e
w,s,n,k,b,n,e
w,f,h,n,b,n,e
w,f,p,n,b,n,e
w,f,k,k,b,n,e
w,f,p,k,b,n,e
w,s,p,n,b,n,e
w,s,n,k,b,a,e
w,f,k,n,b,n,e
w,s,h,k,b,n,e
w,f,n,n,b,n,e
p,s,p,n,b,n,e
w,s,w,k,n,p,p
g,s,p,n,b,n,e
w,f,h,n,b,n,e
p,s,p,k,b,n,e
w,s,n,n,b,n,e
w,s,k,k,b,n,e
w,s,h,k,b,n,e
w,s,g,k,b,a,e
w,s,p,u,n,a,e
w,f,n,n,b,n,e
w,f,h,n,b,n,e
w,f,n,n,b,n,e
w,s,g,k,b,a,e
w,f,h,k,b,n,e
w,s,n,n,b,l,e
w,f,n,k,b,n,e
w,s,k,n,b,n,e
w,f,n,n,b,n,e
w,f,n,n,b,n,e
w,f,n,n,b,n,e
w,s,w,n,b,n,e
w,f,n,k,b,n,e
w,s,g,k,b,a,e
w,f,n,k,b,n,e
w,s,n,k,n,p,p
w,s,h,n,b,n,e
w,s,n,n,n,p,p
w,s,h,k,b,n,e
w,f,k,n,b,n,e
w,s,p,n,n,p,p
w,f,p,k,b,n,e
w,s,p,n,n,p,p
w,f,p,n,b,n,e
w,s,p,k,b,n,e
w,s,w,n,n,p,p
w,s,n,k,b,n,e
w,s,h,k,b,n,e
w,f,p,n,b,n,e
w,s,p,k,b,n,e
g,s,u,k,b,n,e
w,s,k,k,n,p,p
w,s,k,k,b,n,e
w,y,w,k,b,a,e
w,s,h,n,b,n,e
w,f,k,k,b,n,e
w,s,g,k,b,l,e
w,f,k,k,b,n,e
w,f,n,k,b,n,e
w,s,h,n,b,n,e
w,s,w,n,n,p,p
w,f,h,n,b,n,e
w,s,w,k,b,a,e
w,f,p,n,b,n,e
w,f,h,k,b,n,e
w,s,h,n,b,n,e
w,f,p,k,b,n,e
w,s,p,k,b,n,e
g,s,p,n,b,n,e
w,s,g,n,b,l,e
w,s,n,n,b,n,e
w,s,p,k,n,p,p
w,s,h,n,b,n,e
w,s,k,k,n,p,p
w,f,n,n,b,n,e
w,f,k,k,b,n,e
w,f,k,k,b,n,e
w,s,n,n,b,n,e
w,f,n,n,b,n,e
w,s,g,k,b,l,e
w,f,k,k,b,n,e
w,s,k,k,b,n,e
w,s,p,k,n,p,p
w,f,n,k,b,n,e
w,s,n,k,n,p,p
w,s,n,k,b,n,e
w,s,p,k,b,n,e
w,f,k,k,b,n,e
w,s,w,n,n,p,p
w,f,h,k,b,n,e
w,s,w,n,n,p,p
g,s,p,n,b,n,e
w,s,p,n,b,n,e
w,y,n,n,b,a,e
w,f,h,k,b,n,e
w,f,p,n,b,n,e
w,s,n,n,b,n,e
w,f,p,k,b,n,e
w,f,n,n,b,n,e
w,f,n,k,b,n,e
w,f,k,n,b,n,e
w,s,w,n,b,n,e
w,s,p,k,b,n,e
w,s,p,k,b,n,e
w,y,w,n,b,l,e
g,s,n,k,b,n,e
w,f,k,k,b,n,e
w,f,k,n,b,n,e
w,f,h,n,b,n,e
w,s,p,k,b,n,e
w,f,n,k,b,n,e
w,s,k,k,b,n,e
w,s,n,n,b,n,e
w,s,p,n,b,n,e
w,f,k,n,b,n,e
w,s,k,k,b,n,e
w,f,p,n,b,n,e
w,s,p,k,n,n,e
w,s,p,k,n,p,p
w,s,p,n,n,p,p
g,s,u,k,b,n,e
w,s,n,n,b,n,e
w,s,k,n,b,n,e
w,s,h,n,b,n,e
w,f,h,n,b,n,e
w,s,h,k,b,n,e
w,f,n,k,b,n,e
w,f,p,n,b,n,e
w,f,n,k,b,n,e
p,s,n,k,b,n,e
w,s,k,n,n,p,p
w,s,h,n,b,n,e
g,s,n,n,b,n,e
w,s,k,n,n,p,p
w,s,k,k,n,p,p
w,s,n,k,n,p,p
w,f,h,n,b,n,e
w,s,h,n,b,n,e
w,f,h,k,b,n,e
w,f,h,k,b,n,e
w,f,k,k,b,n,e
w,s,p,n,n,p,p
w,s,n,k,n,p,p
w,f,p,n,b,n,e
w,s,k,k,b,n,e
w,f,h,n,b,n,e
g,s,w,k,b,n,e
w,s,n,n,b,n,e
w,s,p,k,b,n,e
w,s,n,n,b,n,e
w,f,k,k,b,n,e
w,s,n,n,b,l,e
w,f,n,n,b,n,e
w,f,h,n,b,n,e
w,s,n,n,b,n,e
w,s,p,n,b,n,e
w,s,n,n,b,n,e
w,f,h,k,b,n,e
w,s,h,n,b,n,e
w,f,p,k,b,n,e
w,s,p,n,b,n,e
w,f,n,k,b,n,e
w,s,p,n,b,n,e
w,s,h,k,b,n,e
w,s,n,n,b,n,e
w,s,h,k,b,n,e
w,f,p,k,b,n,e
w,s,g,k,b,a,e
w,s,n,k,b,l,e
w,f,p,k,b,n,e
w,s,k,k,n,p,p
w,f,k,n,b,n,e
w,s,w,k,n,p,p
g,s,n,n,b,n,e
w,s,w,k,n,p,p
w,s,g,n,b,l,e
w,s,n,n,b,l,e
w,y,n,n,b,l,e
w,f,n,n,b,n,e
w,s,p,k,b,n,e
w,s,p,k,b,n,e
w,s,n,k,b,n,e
w,f,h,n,b,n,e
w,s,n,k,b,n,e
w,f,n,k,b,n,e
w,s,n,n,b,l,e
w,s,p,k,b,n,e
w,s,w,k,b,l,e
w,s,n,k,n,p,p
w,f,p,k,b,n,e
w,f,h,k,b,n,e
w,s,n,n,b,n,e
w,s,h,n,b,n,e
w,s,p,n,b,n,e
g,s,n,k,b,n,e
w,y,n,n,b,a,e
p,s,w,k,b,n,e
w,f,p,n,b,n,e
w,s,h,k,b,n,e
w,f,n,n,b,n,e
w,s,k,n,b,n,e
w,f,n,k,b,n,e
w,s,n,n,b,n,e
w,s,k,n,b,n,e
w,f,k,n,b,n,e
g,s,w,k,b,n,e
w,s,k,n,b,n,e
w,s,n,k,b,n,e
w,s,w,k,n,p,p
w,s,n,k,b,n,e
w,f,p,k,b,n,e
w,f,n,k,b,n,e
w,s,n,n,n,p,p
w,s,k,k,b,n,e
w,s,n,k,b,n,e
w,f,p,k,b,n,e
w,f,h,k,b,n,e
p,s,w,n,b,n,e
w,f,h,n,b,n,e
w,f,p,n,b,n,e
p,s,u,k,b,n,e
w,s,w,k,b,l,e
w,s,k,n,b,l,e
w,s,p,n,b,n,e
w,s,k,k,b,n,e
w,f,n,k,b,n,e
w,s,p,k,b,n,e
w,f,h,n,b,n,e
w,f,n,n,b,n,e
w,s,g,n,b,a,e
w,s,k,k,n,p,p
w,f,k,k,b,n,e
w,s,k,k,b,n,e
w,y,n,k,b,a,e
w,f,n,n,b,n,e
w,s,k,n,b,n,e
w,s,n,k,n,p,p
w,f,n,k,b,n,e
w,s,p,n,b,n,e
w,s,n,k,n,p,p
w,s,p,n,b,n,e
w,s,p,k,b,n,e
p,s,u,k,b,n,e
w,s,p,k,b,n,e
w,s,p,n,n,p,p
w,f,h,k,b,n,e
w,s,h,n,b,n,e
w,f,p,n,b,n,e
w,f,n,k,b,n,e
w,y,w,n,b,l,e
w,s,w,n,n,p,p
w,s,p,n,b,n,e
w,s,p,k,n,n,e
w,s,w,n,n,p,p
w,f,n,n,b,n,e
w,f,k,n,b,n,e
w,y,n,n,b,a,e
w,f,h,n,b,n,e
w,f,h,k,b,n,e
w,s,n,n,n,p,p
w,s,h,k,b,n,e
w,s,k,n,b,n,e
w,s,n,k,b,n,e
p,s,p,n,b,n,e
w,f,k,k,b,n,e
w,s,n,k,b,n,e
w,f,k,k,b,n,e
w,s,h,n,b,n,e
w,s,n,k,b,n,e
w,f,p,n,b,n,e
w,s,n,n,n,p,p
w,f,n,n,b,n,e
w,s,k,n,b,n,e
g,s,p,k,b,n,e
w,y,p,n,b,a,e
w,f,k,k,b,n,e
w,s,h,k,b,n,e
w,s,k,k,b,n,e
w,s,k,n,b,a,e
w,s,p,k,b,n,e
w,s,p,k,b,n,e
w,s,n,k,b,n,e
w,s,n,n,n,p,p
w,s,k,k,n,p,p
w,s,p,k,b,n,e
w,s,n,n,n,n,e
w,f,p,k,b,n,e
w,s,k,k,b,n,e
w,s,w,k,n,p,p
w,s,k,n,b,a,e
w,f,h,k,b,n,e
w,s,n,k,n,p,p
w,f,h,k,b,n,e
w,f,k,n,b,n,e
w,s,n,k,b,n,e
w,s,n,n,n,p,p
w,f,k,k,b,n,e
w,s,h,n,b,n,e
w,s,p,n,b,n,e
w,f,p,n,b,n,e
w,s,k,k,n,p,p
w,f,p,n,b,n,e
w,s,p,n,b,n,e
w,s,k,k,n,p,p
w,f,p,k,b,n,e
g,s,w,n,b,n,e
w,f,h,n,b,n,e
p,s,u,k,b,n,e
w,s,p,n,b,n,e
g,s,n,n,b,n,e
p,s,p,k,b,n,e
w,s,h,n,b,n,e
p,s,u,n,b,n,e
p,s,p,k,b,n,e
w,s,p,n,b,n,e
w,s,n,n,n,p,p
w,s,n,k,b,n,e
w,s,n,k,n,p,p
w,s,n,n,b,a,e
w,s,h,k,b,n,e
w,s,g,n,b,a,e
b,k,h,h,b,f,p
w,s,k,n,b,n,e
w,f,p,n,b,n,e
g,s,p,k,b,n,e
w,s,h,k,b,n,e
w,f,h,k,b,n,e
w,s,p,k,n,p,p
g,s,p,n,b,n,e
w,s,k,n,b,l,e
w,s,n,k,b,n,e
g,s,n,n,b,n,e
w,s,n,k,b,n,e
w,s,p,n,b,n,e
p,s,n,k,b,n,e
g,s,w,n,b,n,e
w,s,u,k,b,n,e
w,s,n,n,b,n,e
w,s,u,k,b,n,e
g,s,u,n,b,n,e
w,s,w,n,b,n,e
g,s,w,n,b,n,e
w,f,h,n,b,n,e
w,s,p,k,b,n,e
w,f,n,k,b,n,e
w,s,h,k,b,n,e
w,s,p,n,b,n,e
p,s,p,k,b,n,e
w,s,k,n,n,p,p
g,s,p,k,b,n,e
w,f,p,k,b,n,e
w,s,h,n,b,n,e
p,s,w,n,b,n,e
w,s,p,k,b,n,e
w,s,w,k,b,n,e
p,s,n,k,b,n,e
w,s,h,n,b,n,e
g,s,w,n,b,n,e
p,s,p,k,b,n,e
w,s,u,k,b,n,e
w,s,n,n,b,n,e
w,s,w,n,n,a,e
g,s,w,n,b,n,e
w,s,w,n,n,p,p
w,f,h,k,b,n,e
g,s,u,n,b,n,e
p,s,w,k,b,n,e
w,s,h,k,b,n,e
w,s,w,n,b,n,e
w,s,n,n,b,n,e
g,s,w,n,b,n,e
w,s,u,n,b,n,e
w,s,p,k,b,n,e
w,f,n,k,b,n,e
w,s,n,k,b,n,e
w,f,n,k,b,n,e
g,s,n,n,b,n,e
w,f,n,k,b,n,e
w,s,k,k,b,n,e
g,s,w,n,b,n,e
w,s,p,n,b,n,e
w,s,u,n,b,n,e
g,s,p,k,b,n,e
w,s,h,n,b,n,e
w,s,n,k,b,n,e
w,f,h,k,b,n,e
w,s,k,n,b,n,e
p,s,u,n,b,n,e
g,s,u,n,b,n,e
p,s,w,k,b,n,e
w,s,p,n,n,l,e
w,f,k,k,b,n,e
w,s,n,k,n,p,p
g,s,n,k,b,n,e
g,s,w,n,b,n,e
w,f,k,n,b,n,e
w,f,h,n,b,n,e
w,s,h,n,b,n,e
w,s,n,n,b,n,e
w,s,h,n,b,n,e
g,s,w,n,b,n,e
p,s,u,n,b,n,e
w,f,k,n,b,n,e
w,f,n,k,b,n,e
w,s,p,n,b,n,e
w,s,n,k,b,n,e
w,f,h,n,b,n,e
w,f,k,n,b,n,e
w,s,h,k,b,n,e
w,s,k,n,b,n,e
w,s,k,n,b,n,e
w,f,p,k,b,n,e
p,s,w,n,b,n,e
w,f,h,k,b,n,e
w,f,n,n,b,n,e
w,s,p,k,b,n,e
g,s,u,k,b,n,e
p,s,n,k,b,n,e
w,s,h,k,b,n,e
w,s,p,n,b,n,e
w,y,p,n,b,l,e
w,s,w,k,n,p,p
w,f,h,k,b,n,e
w,f,k,k,b,n,e
w,s,p,k,b,n,e
w,s,u,k,b,n,e
w,s,p,n,b,n,e
w,s,n,k,b,n,e
w,f,h,n,b,n,e
w,s,w,n,b,n,e
w,s,w,k,b,n,e
w,f,p,k,b,n,e
w,f,p,k,b,n,e
w,f,h,k,b,n,e
w,s,p,k,b,n,e
w,s,w,k,n,p,p
w,s,k,n,b,a,e
w,s,w,n,b,n,e
w,f,k,k,b,n,e
w,s,k,n,b,n,e
w,f,k,n,b,n,e
w,s,n,u,n,l,e
w,s,h,n,b,n,e
w,s,h,k,b,n,e
w,s,k,k,b,n,e
p,s,p,k,b,n,e
p,s,n,k,b,n,e
w,s,n,k,b,n,e
w,s,k,k,b,n,e
w,s,n,n,b,n,e
w,s,k,n,n,p,p
w,f,p,n,b,n,e
g,s,w,n,b,n,e
g,s,n,n,b,n,e
w,s,p,n,b,n,e
