@relation 'mushroom-weka.filters.unsupervised.attribute.Remove-V-R15,13,9,20,8,5,23-weka.filters.unsupervised.attribute.Remove-V-R6-7'

@attribute odor {a,c,f,l,m,n,p,s,y}
@attribute class {e,p}

@data
n,e
c,p
c,p
n,e
c,p
f,p
n,e
n,e
n,e
f,p
c,p
f,p
c,p
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
c,p
n,e
f,p
n,e
n,e
c,p
c,p
n,e
n,e
n,e
f,p
n,e
n,e
n,e
c,p
n,e
f,p
n,e
n,e
n,e
c,p
c,p
n,e
n,e
n,e
f,p
n,e
f,p
n,e
f,p
n,e
n,e
n,e
f,p
n,e
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
f,p
n,e
f,p
n,e
n,e
f,p
n,e
f,p
n,e
c,p
n,e
n,e
n,e
n,e
n,e
c,p
f,p
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
c,p
n,e
f,p
n,e
n,e
c,p
n,e
n,e
f,p
n,e
n,e
n,e
c,p
f,p
n,e
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
c,p
n,e
f,p
c,p
n,e
f,p
c,p
n,e
n,e
n,e
n,e
f,p
n,e
f,p
n,e
n,e
f,p
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
c,p
n,e
n,e
n,e
f,p
n,e
n,e
f,p
n,e
f,p
n,e
n,e
n,e
n,e
f,p
c,p
f,p
f,p
f,p
n,e
f,p
n,e
n,e
n,e
f,p
n,e
c,p
n,e
n,e
n,e
n,e
f,p
f,p
n,e
n,e
f,p
n,e
c,p
n,e
n,e
f,p
n,e
c,p
f,p
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
f,p
f,p
f,p
n,e
n,e
f,p
f,p
f,p
n,e
c,p
n,e
f,p
n,e
n,e
f,p
n,e
c,p
n,e
n,e
n,e
f,p
n,e
n,e
c,p
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
c,p
n,e
n,e
n,e
c,p
f,p
n,e
f,p
c,p
n,e
n,e
n,e
n,e
c,p
n,e
f,p
n,e
n,e
c,p
n,e
c,p
n,e
f,p
n,e
c,p
f,p
n,e
n,e
c,p
f,p
n,e
f,p
n,e
n,e
f,p
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
n,e
n,e
f,p
c,p
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
f,p
c,p
c,p
n,e
f,p
c,p
n,e
n,e
n,e
f,p
n,e
n,e
n,e
f,p
c,p
n,e
c,p
c,p
f,p
n,e
n,e
f,p
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
n,e
n,e
f,p
n,e
f,p
n,e
n,e
n,e
f,p
n,e
n,e
f,p
n,e
c,p
n,e
c,p
n,e
c,p
n,e
n,e
n,e
n,e
c,p
n,e
n,e
c,p
n,e
c,p
n,e
f,p
n,e
f,p
n,e
n,e
n,e
c,p
f,p
n,e
n,e
n,e
n,e
n,e
n,e
f,p
n,e
n,e
n,e
c,p
n,e
n,e
f,p
n,e
c,p
n,e
c,p
f,p
f,p
n,e
n,e
n,e
n,e
f,p
n,e
n,e
f,p
n,e
c,p
n,e
n,e
n,e
n,e
n,e
n,e
c,p
n,e
f,p
n,e
n,e
n,e
c,p
c,p
n,e
n,e
n,e
n,e
f,p
c,p
n,e
n,e
c,p
c,p
n,e
f,p
c,p
f,p
c,p
n,e
c,p
n,e
c,p
c,p
n,e
c,p
c,p
n,e
n,e
c,p
n,e
c,p
n,e
f,p
f,p
n,e
f,p
n,e
f,p
f,p
n,e
n,e
c,p
n,e
f,p
f,p
f,p
f,p
c,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
n,e
n,e
n,e
f,p
f,p
f,p
n,e
f,p
n,e
n,e
n,e
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
c,p
f,p
n,e
n,e
c,p
f,p
f,p
n,e
n,e
f,p
n,e
f,p
f,p
n,e
f,p
f,p
f,p
f,p
c,p
c,p
f,p
f,p
f,p
n,e
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
c,p
f,p
f,p
n,e
n,e
f,p
c,p
f,p
f,p
c,p
n,e
f,p
c,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
c,p
c,p
f,p
f,p
f,p
n,e
f,p
n,e
f,p
n,e
n,e
f,p
f,p
n,e
f,p
n,e
n,e
n,e
f,p
n,e
f,p
f,p
f,p
f,p
f,p
n,e
n,e
f,p
f,p
f,p
y,p
f,p
f,p
c,p
f,p
f,p
f,p
f,p
c,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
n,e
f,p
n,e
f,p
f,p
f,p
c,p
f,p
n,e
c,p
f,p
f,p
c,p
f,p
f,p
n,e
f,p
f,p
c,p
c,p
n,e
f,p
n,e
n,e
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
n,e
n,e
f,p
n,e
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
n,e
f,p
f,p
n,e
n,e
f,p
n,e
n,e
f,p
c,p
f,p
y,p
f,p
f,p
n,e
f,p
n,e
n,p
n,e
f,p
n,e
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
n,e
f,p
f,p
n,e
f,p
n,e
f,p
f,p
f,p
c,p
n,e
f,p
f,p
f,p
n,e
f,p
f,p
n,e
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
n,e
n,e
n,e
f,p
f,p
n,e
f,p
n,e
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
n,e
f,p
f,p
f,p
n,e
f,p
f,p
n,e
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
y,p
n,e
c,p
c,p
y,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
c,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
s,p
f,p
n,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
n,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
y,p
f,p
f,p
n,e
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
n,e
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
y,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
c,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
s,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
n,p
f,p
f,p
n,e
y,p
c,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
s,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
c,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
y,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
c,p
f,p
n,e
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
c,p
f,p
f,p
f,p
f,p
f,p
n,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
c,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
c,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
n,e
f,p
n,p
f,p
f,p
s,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
n,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
n,e
c,p
f,p
f,p
f,p
f,p
n,p
f,p
n,e
n,p
n,e
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
n,e
n,e
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
n,e
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
n,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
c,p
f,p
f,p
f,p
n,e
n,e
f,p
f,p
f,p
y,p
y,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
c,p
f,p
n,e
f,p
f,p
n,e
f,p
f,p
f,p
n,e
n,e
f,p
f,p
f,p
f,p
f,p
f,p
s,p
n,e
f,p
f,p
f,p
f,p
f,p
n,e
n,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
n,e
n,e
n,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
y,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
n,e
f,p
f,p
f,p
f,p
n,p
n,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
c,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
s,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
y,p
n,e
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
n,e
f,p
f,p
y,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
n,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,p
n,e
f,p
f,p
n,e
f,p
f,p
s,p
y,p
y,p
n,p
f,p
n,e
f,p
f,p
f,p
n,e
f,p
f,p
y,p
n,e
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
n,p
f,p
n,p
f,p
f,p
n,p
s,p
y,p
n,e
n,e
f,p
n,p
f,p
f,p
n,p
f,p
y,p
f,p
n,e
f,p
f,p
y,p
n,e
f,p
n,e
n,e
f,p
n,p
n,p
y,p
f,p
f,p
f,p
f,p
f,p
f,p
n,p
n,e
f,p
f,p
n,e
f,p
n,p
n,e
f,p
f,p
f,p
f,p
f,p
n,e
n,e
n,p
n,e
n,e
f,p
f,p
f,p
f,p
f,p
n,e
y,p
f,p
n,e
f,p
n,p
f,p
s,p
n,e
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,p
n,e
f,p
y,p
f,p
n,e
f,p
y,p
f,p
f,p
n,p
n,e
f,p
y,p
n,e
f,p
n,e
f,p
n,e
n,p
f,p
f,p
f,p
f,p
f,p
n,e
n,e
f,p
n,e
f,p
f,p
f,p
n,p
n,e
n,p
f,p
n,p
f,p
n,e
f,p
y,p
f,p
f,p
n,p
f,p
f,p
f,p
n,e
f,p
f,p
n,p
f,p
n,e
f,p
n,p
f,p
f,p
n,p
f,p
n,e
f,p
y,p
y,p
f,p
n,e
f,p
n,e
f,p
n,e
s,p
f,p
f,p
n,p
n,p
f,p
n,e
n,p
f,p
n,e
n,e
n,e
f,p
y,p
f,p
f,p
f,p
n,e
y,p
f,p
f,p
n,e
f,p
s,p
f,p
n,e
f,p
f,p
n,e
f,p
f,p
s,p
n,e
f,p
n,e
n,e
f,p
n,p
s,p
n,e
f,p
f,p
n,e
n,p
n,e
f,p
f,p
s,p
f,p
f,p
f,p
n,e
s,p
f,p
y,p
f,p
f,p
f,p
n,p
f,p
f,p
n,e
f,p
s,p
n,p
f,p
n,e
n,p
n,p
f,p
n,e
n,e
y,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,p
n,e
f,p
f,p
y,p
f,p
f,p
f,p
n,p
f,p
n,e
f,p
f,p
f,p
f,p
n,p
f,p
n,e
s,p
f,p
f,p
n,e
f,p
n,e
n,e
n,e
n,e
f,p
n,e
n,e
f,p
n,e
f,p
n,p
f,p
f,p
f,p
n,p
f,p
f,p
n,e
y,p
f,p
f,p
n,p
f,p
f,p
f,p
f,p
f,p
y,p
f,p
n,e
f,p
n,e
n,e
n,e
f,p
f,p
n,e
n,e
f,p
n,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
f,p
f,p
n,e
f,p
n,e
f,p
f,p
n,p
y,p
s,p
f,p
n,e
f,p
f,p
y,p
f,p
y,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
s,p
f,p
n,e
n,p
y,p
n,e
f,p
f,p
y,p
f,p
y,p
n,p
y,p
f,p
f,p
f,p
n,p
f,p
n,e
f,p
n,e
f,p
y,p
f,p
f,p
f,p
n,e
f,p
s,p
f,p
f,p
n,e
n,p
n,p
f,p
f,p
n,e
f,p
f,p
f,p
y,p
n,e
n,e
n,e
f,p
f,p
y,p
n,p
f,p
f,p
y,p
f,p
s,p
n,e
n,e
f,p
y,p
f,p
s,p
f,p
s,p
n,e
f,p
f,p
n,e
n,p
f,p
n,e
f,p
y,p
f,p
f,p
f,p
n,e
f,p
n,e
n,e
n,e
f,p
n,e
f,p
f,p
f,p
n,e
f,p
n,e
n,e
n,p
y,p
f,p
n,e
f,p
n,e
y,p
f,p
n,e
n,e
s,p
f,p
f,p
f,p
n,e
n,e
f,p
f,p
n,p
f,p
f,p
n,e
n,e
n,p
f,p
y,p
f,p
f,p
s,p
n,p
n,e
f,p
f,p
f,p
n,e
y,p
f,p
y,p
n,e
n,p
n,e
y,p
f,p
f,p
f,p
n,p
s,p
s,p
n,e
f,p
n,e
n,e
y,p
n,e
f,p
s,p
n,e
n,p
f,p
f,p
n,e
f,p
n,p
f,p
n,e
f,p
s,p
y,p
f,p
n,p
f,p
n,e
n,e
f,p
n,e
n,e
n,e
f,p
f,p
f,p
n,e
f,p
n,e
f,p
f,p
n,p
y,p
f,p
f,p
n,p
n,e
f,p
n,e
n,p
f,p
f,p
y,p
n,e
f,p
f,p
f,p
n,e
f,p
f,p
n,e
n,e
f,p
f,p
f,p
f,p
f,p
n,p
f,p
n,e
f,p
f,p
n,e
f,p
n,e
f,p
y,p
n,e
f,p
f,p
f,p
y,p
n,e
f,p
f,p
f,p
f,p
n,e
n,p
n,e
y,p
n,e
f,p
f,p
n,e
n,e
f,p
f,p
y,p
n,e
n,e
f,p
y,p
n,e
f,p
s,p
n,e
f,p
f,p
f,p
n,e
n,p
n,e
f,p
f,p
f,p
f,p
y,p
f,p
n,e
f,p
y,p
n,e
n,e
f,p
n,p
f,p
s,p
n,e
y,p
s,p
f,p
n,e
f,p
n,p
n,e
f,p
f,p
f,p
n,e
n,e
n,e
n,e
f,p
y,p
n,e
n,p
f,p
f,p
n,e
f,p
n,e
n,p
s,p
f,p
f,p
n,e
f,p
f,p
n,p
n,p
f,p
n,e
s,p
f,p
n,e
f,p
f,p
n,p
y,p
f,p
f,p
n,e
f,p
f,p
n,e
s,p
n,e
f,p
y,p
f,p
n,e
n,p
f,p
n,e
n,e
f,p
n,e
y,p
n,e
n,p
n,p
f,p
f,p
f,p
n,e
n,p
n,p
s,p
f,p
f,p
n,p
n,e
f,p
f,p
f,p
f,p
y,p
n,p
f,p
f,p
f,p
n,e
f,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
n,e
s,p
n,e
y,p
f,p
y,p
n,e
f,p
f,p
n,e
f,p
f,p
n,e
f,p
n,e
f,p
f,p
s,p
f,p
n,p
s,p
n,e
n,e
f,p
f,p
n,e
n,p
f,p
f,p
f,p
f,p
f,p
f,p
n,e
f,p
n,e
s,p
f,p
f,p
n,p
f,p
n,p
f,p
f,p
n,e
n,e
f,p
n,e
n,p
n,e
y,p
n,e
f,p
n,p
s,p
y,p
f,p
f,p
s,p
f,p
n,e
n,e
f,p
f,p
s,p
f,p
f,p
f,p
n,p
n,e
y,p
f,p
n,e
f,p
f,p
f,p
f,p
f,p
f,p
n,e
n,e
n,e
f,p
f,p
n,e
f,p
s,p
n,p
f,p
n,e
f,p
f,p
n,e
n,e
f,p
f,p
f,p
f,p
f,p
n,e
n,e
f,p
n,e
n,e
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
n,p
f,p
n,p
n,e
y,p
y,p
f,p
f,p
n,p
f,p
n,e
n,e
n,e
n,p
f,p
f,p
f,p
s,p
n,p
f,p
n,p
n,e
n,e
f,p
f,p
f,p
n,e
f,p
n,p
s,p
f,p
f,p
f,p
f,p
n,e
n,e
n,p
n,p
f,p
s,p
f,p
f,p
f,p
n,e
y,p
n,p
y,p
f,p
f,p
n,e
f,p
n,e
f,p
n,e
f,p
n,p
f,p
f,p
f,p
f,p
f,p
f,p
s,p
f,p
f,p
n,p
f,p
y,p
f,p
n,e
n,e
f,p
f,p
f,p
s,p
f,p
f,p
f,p
s,p
y,p
y,p
s,p
f,p
f,p
s,p
s,p
f,p
y,p
f,p
y,p
f,p
s,p
y,p
f,p
y,p
s,p
y,p
y,p
s,p
y,p
y,p
s,p
y,p
s,p
s,p
s,p
f,p
s,p
s,p
f,p
y,p
n,e
y,p
n,e
y,p
s,p
y,p
y,p
y,p
f,p
s,p
y,p
f,p
s,p
f,p
s,p
y,p
f,p
y,p
f,p
y,p
f,p
s,p
f,p
f,p
s,p
f,p
s,p
s,p
f,p
s,p
n,e
y,p
f,p
f,p
s,p
s,p
s,p
f,p
y,p
f,p
s,p
s,p
y,p
y,p
s,p
s,p
y,p
s,p
y,p
s,p
y,p
s,p
f,p
y,p
f,p
f,p
y,p
f,p
f,p
y,p
y,p
f,p
f,p
s,p
f,p
s,p
y,p
y,p
s,p
y,p
s,p
f,p
y,p
s,p
f,p
f,p
f,p
s,p
s,p
f,p
f,p
s,p
n,e
y,p
y,p
y,p
s,p
y,p
s,p
f,p
f,p
y,p
f,p
f,p
y,p
y,p
s,p
f,p
s,p
y,p
y,p
f,p
s,p
y,p
n,e
s,p
f,p
s,p
y,p
n,e
s,p
s,p
s,p
f,p
f,p
f,p
s,p
y,p
f,p
f,p
f,p
s,p
f,p
s,p
s,p
s,p
y,p
y,p
f,p
y,p
y,p
y,p
y,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
s,p
y,p
f,p
s,p
f,p
s,p
s,p
y,p
f,p
s,p
s,p
s,p
s,p
f,p
f,p
f,p
n,e
s,p
s,p
s,p
y,p
y,p
f,p
f,p
f,p
n,e
s,p
f,p
y,p
s,p
y,p
y,p
f,p
y,p
f,p
s,p
n,e
s,p
f,p
f,p
s,p
n,e
s,p
y,p
f,p
s,p
f,p
y,p
s,p
f,p
s,p
y,p
y,p
y,p
y,p
y,p
f,p
f,p
f,p
s,p
y,p
y,p
s,p
f,p
f,p
y,p
y,p
f,p
s,p
s,p
f,p
y,p
s,p
s,p
f,p
s,p
s,p
y,p
y,p
s,p
s,p
y,p
f,p
n,e
y,p
s,p
y,p
s,p
s,p
y,p
s,p
y,p
f,p
s,p
s,p
f,p
s,p
y,p
s,p
f,p
f,p
n,e
s,p
y,p
f,p
f,p
y,p
s,p
f,p
f,p
f,p
s,p
y,p
s,p
s,p
s,p
y,p
f,p
f,p
f,p
y,p
y,p
s,p
y,p
f,p
s,p
s,p
f,p
f,p
f,p
y,p
f,p
f,p
f,p
f,p
s,p
f,p
y,p
f,p
y,p
f,p
y,p
f,p
y,p
f,p
s,p
s,p
y,p
s,p
y,p
f,p
f,p
f,p
n,e
f,p
f,p
s,p
s,p
f,p
y,p
s,p
f,p
f,p
f,p
f,p
y,p
f,p
f,p
f,p
s,p
f,p
f,p
f,p
f,p
s,p
y,p
y,p
y,p
f,p
y,p
y,p
f,p
f,p
y,p
f,p
s,p
y,p
f,p
n,e
f,p
f,p
y,p
f,p
y,p
f,p
f,p
y,p
n,e
f,p
s,p
y,p
s,p
s,p
f,p
s,p
s,p
y,p
f,p
s,p
f,p
y,p
s,p
y,p
s,p
f,p
y,p
y,p
f,p
n,e
y,p
f,p
y,p
s,p
s,p
f,p
n,e
s,p
s,p
n,e
y,p
s,p
f,p
s,p
f,p
s,p
s,p
s,p
m,p
y,p
y,p
s,p
y,p
f,p
s,p
f,p
s,p
n,e
s,p
s,p
s,p
f,p
y,p
f,p
s,p
y,p
f,p
n,e
s,p
f,p
f,p
y,p
f,p
s,p
f,p
y,p
s,p
y,p
y,p
y,p
y,p
y,p
n,e
y,p
y,p
f,p
s,p
y,p
f,p
s,p
s,p
y,p
s,p
s,p
f,p
s,p
f,p
f,p
y,p
y,p
y,p
y,p
f,p
f,p
f,p
s,p
y,p
f,p
y,p
f,p
y,p
s,p
s,p
s,p
y,p
s,p
y,p
y,p
y,p
s,p
f,p
s,p
f,p
s,p
s,p
f,p
s,p
f,p
y,p
y,p
f,p
s,p
f,p
f,p
s,p
f,p
f,p
y,p
s,p
f,p
s,p
y,p
n,e
s,p
f,p
y,p
y,p
y,p
f,p
y,p
n,e
f,p
f,p
y,p
y,p
y,p
f,p
s,p
f,p
s,p
s,p
y,p
s,p
n,e
f,p
f,p
f,p
s,p
y,p
y,p
s,p
y,p
y,p
s,p
s,p
f,p
s,p
s,p
f,p
y,p
f,p
s,p
s,p
f,p
s,p
y,p
s,p
y,p
f,p
s,p
s,p
n,e
y,p
y,p
f,p
y,p
y,p
y,p
f,p
y,p
f,p
f,p
s,p
y,p
s,p
f,p
y,p
y,p
f,p
f,p
y,p
f,p
y,p
y,p
s,p
s,p
s,p
s,p
y,p
y,p
y,p
s,p
f,p
y,p
s,p
s,p
s,p
s,p
s,p
y,p
s,p
y,p
n,e
y,p
s,p
s,p
s,p
s,p
f,p
f,p
s,p
y,p
f,p
f,p
f,p
f,p
y,p
s,p
f,p
y,p
s,p
f,p
s,p
s,p
f,p
s,p
y,p
f,p
s,p
y,p
s,p
y,p
y,p
s,p
y,p
f,p
s,p
f,p
s,p
f,p
y,p
y,p
y,p
y,p
y,p
s,p
f,p
y,p
f,p
y,p
s,p
y,p
y,p
s,p
y,p
s,p
f,p
y,p
s,p
f,p
f,p
s,p
y,p
n,e
y,p
s,p
n,e
y,p
s,p
s,p
s,p
m,p
s,p
s,p
y,p
s,p
f,p
f,p
f,p
s,p
y,p
y,p
s,p
y,p
f,p
s,p
f,p
f,p
y,p
f,p
s,p
f,p
y,p
y,p
s,p
y,p
s,p
s,p
f,p
y,p
f,p
y,p
s,p
f,p
y,p
s,p
s,p
f,p
y,p
f,p
y,p
y,p
f,p
y,p
f,p
f,p
f,p
s,p
y,p
s,p
f,p
y,p
s,p
s,p
f,p
s,p
f,p
s,p
y,p
s,p
y,p
s,p
f,p
f,p
s,p
y,p
s,p
y,p
s,p
y,p
s,p
y,p
y,p
f,p
y,p
s,p
y,p
n,e
y,p
f,p
s,p
f,p
y,p
s,p
y,p
n,e
s,p
f,p
s,p
f,p
f,p
s,p
s,p
y,p
f,p
n,e
n,e
s,p
s,p
s,p
s,p
y,p
f,p
y,p
f,p
s,p
y,p
n,e
f,p
y,p
y,p
y,p
f,p
y,p
y,p
y,p
y,p
f,p
s,p
f,p
s,p
f,p
s,p
f,p
s,p
s,p
s,p
y,p
s,p
f,p
f,p
y,p
f,p
y,p
s,p
y,p
f,p
s,p
f,p
y,p
y,p
s,p
y,p
f,p
f,p
f,p
y,p
s,p
y,p
f,p
s,p
f,p
y,p
y,p
s,p
y,p
y,p
y,p
s,p
f,p
n,e
y,p
y,p
s,p
s,p
s,p
f,p
f,p
f,p
f,p
f,p
f,p
f,p
s,p
y,p
f,p
s,p
s,p
s,p
y,p
s,p
f,p
n,e
f,p
s,p
s,p
f,p
f,p
m,p
f,p
s,p
y,p
f,p
n,e
y,p
y,p
y,p
s,p
y,p
y,p
f,p
f,p
f,p
f,p
y,p
y,p
y,p
s,p
f,p
y,p
y,p
f,p
f,p
f,p
f,p
y,p
f,p
n,e
y,p
y,p
s,p
s,p
f,p
s,p
s,p
f,p
s,p
s,p
s,p
f,p
y,p
y,p
f,p
n,e
y,p
y,p
f,p
n,e
n,e
n,e
n,e
s,p
f,p
n,e
s,p
n,p
